old_id	thing_uri	np_uri
https://w3id.org/peh/matrices/passive-sampler-fraction	https://w3id.org/peh/matrices/RAmmKfCuHlLIk-MhylA2Zj4OqF9dAwXqg2QLz4_kc2uPY	https://w3id.org/np/RAmmKfCuHlLIk-MhylA2Zj4OqF9dAwXqg2QLz4_kc2uPY
https://w3id.org/peh/matrices/passive-water-sampler-fraction	https://w3id.org/peh/matrices/RAeDs0Bmrmu4gwCPkpMmathvT6Yw2R_FRFLcBqyb4dhNo	https://w3id.org/np/RAeDs0Bmrmu4gwCPkpMmathvT6Yw2R_FRFLcBqyb4dhNo
https://w3id.org/peh/matrices/plant-tissue	https://w3id.org/peh/matrices/RA_TYQHRFgdIlwCiFJl5iEjmdrrNH3uxL69mQTyqA9WQU	https://w3id.org/np/RA_TYQHRFgdIlwCiFJl5iEjmdrrNH3uxL69mQTyqA9WQU
https://w3id.org/peh/matrices/pm10	https://w3id.org/peh/matrices/RA3xOAf2s6RD7Qt_kXdfKwXFOUIuBh-jFNcBxYQ7xz_30	https://w3id.org/np/RA3xOAf2s6RD7Qt_kXdfKwXFOUIuBh-jFNcBxYQ7xz_30
https://w3id.org/peh/matrices/pm2-5	https://w3id.org/peh/matrices/RAgNmPPDMOpewQg-7aooCubcxMd3gOxPx2rDkzA3AFfPk	https://w3id.org/np/RAgNmPPDMOpewQg-7aooCubcxMd3gOxPx2rDkzA3AFfPk
https://w3id.org/peh/matrices/r-horizon	https://w3id.org/peh/matrices/RA2CfX2HnCfXAPWk55wOTwmjviUX-vtSnNVoM7xP1BKlY	https://w3id.org/np/RA2CfX2HnCfXAPWk55wOTwmjviUX-vtSnNVoM7xP1BKlY
https://w3id.org/peh/matrices/radish	https://w3id.org/peh/matrices/RAIbsgwYEK31Cfhg2xBxLmRxe-vW9lBqzh4jK4MWvZ5pg	https://w3id.org/np/RAIbsgwYEK31Cfhg2xBxLmRxe-vW9lBqzh4jK4MWvZ5pg
https://w3id.org/peh/matrices/respirable-fraction	https://w3id.org/peh/matrices/RAYs1o2pSjbS5pZpxujn4Zlp38XukJRxhvhLf8S1nkrC4	https://w3id.org/np/RAYs1o2pSjbS5pZpxujn4Zlp38XukJRxhvhLf8S1nkrC4
https://w3id.org/peh/matrices/root	https://w3id.org/peh/matrices/RAB2oB89IoXKTIZII5ctrfnEsk8jui2tv-tinwYSJbc1o	https://w3id.org/np/RAB2oB89IoXKTIZII5ctrfnEsk8jui2tv-tinwYSJbc1o
https://w3id.org/peh/matrices/s-horizon	https://w3id.org/peh/matrices/RAyBzOQBdGxY2wkzsSqDlHyMrSOA87vzQQy8VSb0XF03M	https://w3id.org/np/RAyBzOQBdGxY2wkzsSqDlHyMrSOA87vzQQy8VSb0XF03M
